f24,Item Number ,Quantity ,Unit Price ,Total Price ,Supplier ,URL,Subteam Lead,,,,,,
Clamping Shaft Coupling,61005K311,1,27.93,27.93,McMaster-Carr,https://www.mcmaster.com/61005K311,Chris,Status,,Grand Total,,,
Rotary Shaft,1327K113,1,4.05,4.05,McMaster-Carr,https://www.mcmaster.com/1327K113/,Chris,Ordered ,Yes,593.39,,Items Total ,538.87
Timing Belt Pulley,6495K744,1,20.34,20.34,McMaster-Carr,https://www.mcmaster.com/6495K744/,Chris,Confirmaton No.,,,,Shipping ,0
7 mm Wide x 90 mm Long Rail for Ball Bearing Carriage,6725K21,1,39.6,39.6,McMaster-Carr,https://www.mcmaster.com/6725K21/,Chris,Estimated Delivery,,,,Total ,538.87
Corrosion-Resistant Ball Bearing Carriage,8438K2,1,70.63,70.63,McMaster-Carr,https://www.mcmaster.com/8438K2/,Chris,Shipped ,No,,,,
Zinc-Plated Steel Corner Bracket,1556A24,7,0.67,4.69,McMaster-Carr,https://www.mcmaster.com/1556A24/,Chris,Shipping Number ,,,,,
Zinc-Plated Steel Corner Bracket,1556A26,1,0.9,0.9,McMaster-Carr,https://www.mcmaster.com/1556A26/,Chris,Picked Up,No,,,,
Zinc-Plated Steel Corner Bracket,1556A61,4,0.68,2.72,McMaster-Carr,https://www.mcmaster.com/1556A61/,Chris,,,,,,
Set Screw Shaft Collar,9946K3,6,5.07,30.42,McMaster-Carr,https://www.mcmaster.com/9946K3/,Chris,,,,,,
Metal Gear - 20 Degree Pressure Angle,2664N377,1,16.75,16.75,McMaster-Carr,https://www.mcmaster.com/2664N377,Yash,,,,,,
Unlubricated Turntable,6031K16,1,3.08,3.08,McMaster-Carr,https://www.mcmaster.com/6031K16,Yash,,,,,,
High-Load Dry-Running Sleeve Bearing with Steel Shell,60695K22,2,3.65,7.3,McMaster-Carr,https://www.mcmaster.com/60695K22,Yash,,,,,,
Rotary Shaft,1257K98,1,7.73,7.73,McMaster-Carr,https://www.mcmaster.com/1257k98/,Chris,,,,,,
4 ft Architectural 6063 Aluminum U-Channel,9001K882,1,14.71,14.71,McMaster-Carr,https://www.mcmaster.com/9001K882-9001K393/,Chris,,,,,,
Female Threaded Hex Standoff,91115A143,10,2.12,21.2,McMaster-Carr,https://www.mcmaster.com/91115A143/,Chris,,,,,,
Aluminum Unthreaded Spacer,92510A465,3,0.4,1.2,McMaster-Carr,https://www.mcmaster.com/92510A465/,Chris,,,,,,
Aluminum Unthreaded Spacer,92510A569,6,1.99,11.94,McMaster-Carr,https://www.mcmaster.com/92510A569/,Chris,,,,,,
92220A175_Alloy Steel Low-Profile Socket Head Screw,92220A175,1,9.6,9.6,McMaster-Carr,https://www.mcmaster.com/92220A175,Yash,,,,,,
External Hex Head Drilling Screws for Metal,90064A146,2,8.01,16.02,McMaster-Carr,https://www.mcmaster.com/90064A146/,Chassis ,,,,,,
302 Stainless Steel Corrosion-Resistant Compression Springs,1986K466,1,5.94,5.94,McMaster-Carr,https://www.mcmaster.com/1986k466/,,,,,,,
18-8 Stainless Steel Flanged Knurled-Head Thumb Nut,95150A170,1,5.46,5.46,McMaster-Carr,https://www.mcmaster.com/95150A170/,,,,,,,
Zinc-Plated Alloy Steel Socket Head Screw,90128A251,1,7.84,7.84,McMaster-Carr,https://www.mcmaster.com/90128A251/,,,,,,,
Left-Hand to Right-Hand Female Hex Thread Adapter,97372A113,2,11.7,23.4,McMaster-Carr,https://www.mcmaster.com/97372A113/,,,,,,,
"Ball Joint Rod End, 1/4""-28 Thread(left hand)",60645K12,2,5.03,10.06,McMaster-Carr,https://www.mcmaster.com/60645K12-60645K122/,,,,,,,
"Ball Joint Rod End, 1/4""-28 Thread(right hand)",60645K12,2,5.03,10.06,McMaster-Carr,https://www.mcmaster.com/60645K12-60645K121/,,,,,,,
416 Stainless Steel Dowel Pin,98380A705,2,$11.11,$22.22,McMaster-Carr,https://www.mcmaster.com/98380A705/,,,,,,,
360 Degree Friction Hinge(left),1541A2,1,12.5,12.5,McMaster-Carr,https://www.mcmaster.com/1541A2/,,,,,,,
360 Degree Friction Hinge(right),1541A1,1,12.5,12.5,McMaster-Carr,https://www.mcmaster.com/1541A1/,,,,,,,
Medium-Strength Grade 5 Steel Hex Head Screw,92865A802,1,11.79,11.79,McMaster-Carr,https://www.mcmaster.com/92865A802/,,,,,,,
Medium-Strength Steel Hex Nut,95462A545,1,10.31,10.31,McMaster-Carr,https://www.mcmaster.com/95462A545/,,,,,,,
Medium-Strength Grade 5 Steel Hex Head Screw,92865A549,2,9.95,19.9,McMaster-Carr,https://www.mcmaster.com/92865A549/,,,,,,,
Medium-Strength Steel Nylon-Insert Locknut,95615A120,2,6.31,12.62,McMaster-Carr,https://www.mcmaster.com/95615a120/,,,,,,,
Medium-Strength Grade 5 Steel Hex Head Screw,92865A635,1,9.12,9.12,McMaster-Carr,https://www.mcmaster.com/92865A635/,,,,,,,
93070A107 M4 20 mm bolts,,1,10.19,10.19,McMaster-Carr,https://www.mcmaster.com/93070A107,,,,,,,
1/2in aluminum rod,,1,8.47,8.47,McMaster-Carr,https://www.mcmaster.com/2655N15,,,,,,,
1/8in THICC plate,,1,35.68,35.68,,https://www.mcmaster.com/89015K18,,,,,,,
,,,,,,,,,,,,,
1/2in width and 1/2 ft long aluminum shaft,,,,,,https://www.mcmaster.com/89845K81,,,,,,,